,name,host_id,host_since,host_since_readable,host_tenure_days,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_verifications,verifications_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bathrooms_number,bedrooms,beds,amenities,amenities_count,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,has_reviews
84,3BR House w/ Sauna & Hot Tub,685192502,2025-03-19,"March 19, 2025",177,within an hour,1.0,1.0,1,6,"['email', 'phone']",2,1,1,Barnet,51.63553683,-0.143235586,Entire home,Entire home/apt,8,1 bath,1.0,3,3,"[""Cooking basics"", ""Washer"", ""Wine glasses"", ""Iron"", ""Noise decibel monitors on property"", ""Smoke alarm"", ""Fire extinguisher"", ""Stove"", ""Courtyard view"", ""First aid kit"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""Coffee maker"", ""Private backyard"", ""Refrigerator"", ""Smoking allowed"", ""Housekeeping - available at extra cost"", ""TV"", ""Coffee"", ""Dining table"", ""Dedicated workspace"", ""Drying rack for clothing"", ""Private sauna"", ""Books and reading material"", ""Freezer"", ""Clothing storage"", ""Exterior security cameras on property"", ""Private entrance"", ""Sun loungers"", ""Hangers"", ""Room-darkening shades"", ""Barbecue utensils"", ""Cleaning products"", ""Garden view"", ""Pets allowed"", ""Hair dryer"", ""Hot tub"", ""Park view"", ""Essentials"", ""BBQ grill"", ""Dishwasher"", ""Fire pit"", ""Wifi"", ""Extra pillows and blankets"", ""Kitchen"", ""Hot water kettle"", ""Outdoor dining area"", ""Oven"", ""Toaster"", ""Heating"", ""Bathtub"", ""Private patio or balcony"", ""Board games"", ""Microwave"", ""Bed linens"", ""Paid parking on premises"", ""Portable fans""]",57,202.0,1,365,10,28,55,169,7,7,0,169,64,12928.0,4.71,4.86,4.86,4.57,4.86,4.71,4.86,1,6,6,0,0,2.63,1
86,"Double room - Zone 1, London",685987621,2025-03-23,"March 23, 2025",173,within a few hours,0.7,0.5,0,1,"['email', 'phone']",2,1,1,Lambeth,51.47521216,-0.128637303,Private room in rental unit,Private room,2,1 shared bath,1.0,1,1,"[""Lock on bedroom door"", ""Washer"", ""Smoke alarm"", ""Host greets you"", ""First aid kit"", ""Wifi"", ""Kitchen"", ""Paid parking on premises"", ""TV""]",9,47.0,1,2,3,12,39,39,4,4,4,39,37,1739.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1,0,1,0,4.0,1
87,Huge 2Bedr/3Beds! Covent GDN 3min subway,74740436,2016-05-30,"May 30, 2016",3392,within an hour,1.0,0.98,1,13,"['email', 'phone']",2,1,1,Camden,51.51384735,-0.129176006,Entire rental unit,Entire home/apt,6,1 bath,1.0,2,3,"[""Cooking basics"", ""Wine glasses"", ""Iron"", ""Smoke alarm"", ""Fire extinguisher"", ""Stove"", ""First aid kit"", ""Dishes and silverware"", ""Shower gel"", ""Carbon monoxide alarm"", ""55 inch HDTV"", ""Refrigerator"", ""Game console: PS4"", ""Central heating"", ""Coffee"", ""Lockbox"", ""Dining table"", ""Drying rack for clothing"", ""Free washer \u2013 In unit"", ""Children\u2019s dinnerware"", ""Freezer"", ""Hangers"", ""Pack \u2019n play/Travel crib - always at the listing"", ""Room-darkening shades"", ""Hot water"", ""Cleaning products"", ""Hair dryer"", ""Clothing storage: wardrobe"", ""Elevator"", ""Essentials"", ""Dishwasher"", ""Wifi"", ""Kitchen"", ""Coffee maker: Nespresso"", ""Hot water kettle"", ""Single level home"", ""Self check-in"", ""Oven"", ""Toaster"", ""Free dryer \u2013 In unit"", ""Shampoo"", ""Microwave"", ""Bed linens"", ""Folding or convertible high chair - always at the listing"", ""Long term stays allowed"", ""Portable fans""]",46,258.0,3,365,6,19,44,295,1,1,0,140,9,2322.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,9,9,0,0,0.79,1
88,3 Bedroom Olympic park Stratford,388522473,2021-02-14,"February 14, 2021",1671,a few days or more,0.4,0.9,0,6,"['email', 'phone']",2,1,1,Newham,51.54832,-0.01596,Entire rental unit,Entire home/apt,6,2 baths,2.0,3,3,"[""Washer"", ""Smoke alarm"", ""Wifi"", ""Kitchen"", ""Paid parking on premises"", ""TV""]",6,283.0,1,365,0,0,0,154,2,2,0,0,18,5094.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,6,6,0,0,1.36,1
89,Jay3 Suites,658936126,2024-10-25,"October 25, 2024",322,within an hour,1.0,1.0,0,1,"['email', 'phone']",2,0,0,Barking and Dagenham,51.53940703,0.159239732,Entire serviced apartment,Entire home/apt,3,1 bath,1.0,1,1,"[""Cooking basics"", ""Washer"", ""Wine glasses"", ""Iron"", ""Smoke alarm"", ""Dishes and silverware"", ""Shower gel"", ""Carbon monoxide alarm"", ""Mini fridge"", ""Central heating"", ""TV"", ""Body soap"", ""Cleaning available during stay"", ""Dining table"", ""Luggage dropoff allowed"", ""Laundromat nearby"", ""Free street parking"", ""Stainless steel electric stove"", ""Hangers"", ""Room-darkening shades"", ""Hot water"", ""Cleaning products"", ""Wifi"", ""Extra pillows and blankets"", ""Kitchen"", ""Trash compactor"", ""Long term stays allowed"", ""Hot water kettle"", ""Window guards"", ""Bathtub"", ""Shampoo"", ""Microwave"", ""Bed linens"", ""Stainless steel single oven""]",34,103.0,1,365,1,19,49,163,1,1,0,163,9,927.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,1,1,0,0,0.42,1
91,"High Barnet haven, close to tube",8227691,2013-08-18,"August 18, 2013",4408,within a day,0.88,0.2,0,1,"['email', 'phone']",2,1,1,Barnet,51.65569081,-0.198461174,Entire condo,Entire home/apt,2,2 baths,2.0,2,2,"[""Washer"", ""Smoke alarm"", ""Dedicated workspace"", ""Carbon monoxide alarm"", ""BBQ grill"", ""Wifi"", ""Kitchen"", ""Free parking on premises"", ""TV""]",9,91.0,3,14,3,11,36,36,1,1,1,36,9,819.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,0,1,1,0,0,1.0,1
92,Hackney Stylish Mid-Century Flat,6789745,2013-06-07,"June 07, 2013",4480,within an hour,1.0,0.94,0,1,"['email', 'phone']",2,1,1,Hackney,51.56135,-0.058,Entire rental unit,Entire home/apt,4,1 bath,1.0,2,2,"[""Cooking basics"", ""Washer"", ""Iron"", ""Smoke alarm"", ""Fire extinguisher"", ""Bosch stainless steel gas stove"", ""Host greets you"", ""First aid kit"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""Bosch single oven"", ""TV"", ""Clothing storage: closet and dresser"", ""Dining table"", ""Books and reading material"", ""Freezer"", ""Bosch refrigerator"", ""Paid street parking off premises"", ""Cleaning products"", ""Hair dryer"", ""Wifi"", ""Extra pillows and blankets"", ""Kitchen"", ""Coffee maker: Nespresso"", ""Hot water kettle"", ""Free dryer \u2013 In unit"", ""Bathtub"", ""Heating"", ""Private patio or balcony"", ""Board games"", ""Bed linens""]",31,137.0,3,30,6,11,17,243,1,1,1,86,9,1233.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,0,1,1,0,0,1.0,1
93,Stylish Victorian terraced house in East London,15577758,2014-05-15,"May 15, 2014",4138,within a few hours,1.0,0.97,0,2,"['email', 'phone', 'work_email']",3,1,1,Tower Hamlets,51.52683881,-0.063997318,Entire home,Entire home/apt,4,1 bath,1.0,2,2,"[""Cooking basics"", ""Washer"", ""Wine glasses"", ""Iron"", ""Smoke alarm"", ""Exercise equipment"", ""Fire extinguisher"", ""Stove"", ""Host greets you"", ""First aid kit"", ""Dishes and silverware"", ""Shower gel"", ""Carbon monoxide alarm"", ""Coffee maker"", ""Refrigerator"", ""Conditioner"", ""TV"", ""Coffee"", ""Lockbox"", ""Body soap"", ""Cleaning available during stay"", ""Dining table"", ""Dedicated workspace"", ""Luggage dropoff allowed"", ""Drying rack for clothing"", ""Laundromat nearby"", ""Books and reading material"", ""Freezer"", ""Dryer"", ""Clothing storage"", ""Private entrance"", ""Hangers"", ""Room-darkening shades"", ""Hot water"", ""Cleaning products"", ""Hair dryer"", ""Patio or balcony"", ""Blender"", ""Dishwasher"", ""Wifi"", ""Extra pillows and blankets"", ""Kitchen"", ""Outdoor furniture"", ""Hot water kettle"", ""Outdoor dining area"", ""Self check-in"", ""Oven"", ""Toaster"", ""Pack \u2019n play/Travel crib"", ""Heating"", ""Bathtub"", ""Sound system"", ""Baking sheet"", ""Shampoo"", ""Board games"", ""Microwave"", ""Bed linens"", ""Paid parking off premises"", ""Long term stays allowed""]",59,271.0,2,14,3,3,7,51,7,7,3,51,64,17344.0,5.0,5.0,4.86,5.0,5.0,4.86,4.86,0,2,1,1,0,3.82,1
94,"Stylish 5 Bed house, London",663964736,2024-11-25,"November 25, 2024",291,within an hour,1.0,1.0,0,5,"['email', 'phone']",2,1,1,Greenwich,51.4830393,0.0639167,Private room in home,Private room,9,7 baths,7.0,7,7,"[""Lock on bedroom door"", ""Washer"", ""Smoke alarm"", ""Fire extinguisher"", ""Wifi"", ""Kitchen"", ""Free parking on premises""]",7,410.0,14,365,11,41,71,346,0,0,0,185,0,0.0,5.0,5.0,5.0,5.0,5.0,4.89,5.0,0,3,2,1,0,0.88,1
95,Luxury Living,67860345,2016-04-19,"April 19, 2016",3433,within an hour,1.0,1.0,0,3,"['email', 'phone']",2,1,1,Sutton,51.3572514,-0.1981316,Entire condo,Entire home/apt,4,2 baths,2.0,2,1,"[""Washer"", ""Iron"", ""Smoke alarm"", ""Shower gel"", ""Carbon monoxide alarm"", ""Conditioner"", ""TV"", ""Lockbox"", ""Body soap"", ""Clothing storage"", ""Exterior security cameras on property"", ""Hangers"", ""Room-darkening shades"", ""Hot water"", ""Hair dryer"", ""Wifi"", ""Extra pillows and blankets"", ""Kitchen"", ""Self check-in"", ""Heating"", ""Bathtub"", ""Shampoo"", ""Bed linens"", ""Free parking on premises""]",24,176.0,6,30,0,0,29,304,1,1,0,144,12,2112.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,1,1,0,0,0.73,1
96,Superior 3 Bedroom Apartment Near Gloucester LON,446820235,2022-02-25,"February 25, 2022",1295,within an hour,1.0,0.44,0,6311,"['email', 'phone']",2,1,1,Kensington and Chelsea,51.4936,-0.1844,Entire rental unit,Entire home/apt,6,3 baths,3.0,3,4,"[""Washer"", ""Air conditioning"", ""Iron"", ""Smoke alarm"", ""Exercise equipment"", ""Fire extinguisher"", ""Stove"", ""First aid kit"", ""Shower gel"", ""Carbon monoxide alarm"", ""Coffee maker"", ""Refrigerator"", ""Safe"", ""TV"", ""Coffee"", ""Body soap"", ""Cleaning available during stay"", ""Dining table"", ""Dedicated workspace"", ""Luggage dropoff allowed"", ""Drying rack for clothing"", ""Dryer"", ""Clothing storage"", ""Outlet covers"", ""Gym"", ""Private entrance"", ""Hangers"", ""Crib"", ""Hot water"", ""Cleaning products"", ""Pets allowed"", ""Hair dryer"", ""Baby monitor"", ""Elevator"", ""Essentials"", ""Dishwasher"", ""Kitchen"", ""Babysitter recommendations"", ""Hot water kettle"", ""Bidet"", ""Self check-in"", ""Oven"", ""Window guards"", ""Outdoor playground"", ""Toaster"", ""Pack \u2019n play/Travel crib"", ""Ethernet connection"", ""Bathtub"", ""Heating"", ""Building staff"", ""Sound system"", ""Baby bath"", ""Shampoo"", ""Microwave"", ""Paid parking off premises"", ""Long term stays allowed"", ""Paid parking on premises""]",57,1273.0,1,365,29,59,89,364,0,0,0,201,0,0.0,4.72,4.73,4.71,4.9,4.8,4.93,4.71,0,495,495,0,0,0.94,1
97,Chiswick garden flat,13849945,2014-04-03,"April 03, 2014",4180,within a day,1.0,0.43,0,1,"['email', 'phone']",2,1,1,Ealing,51.49456,-0.27006,Entire rental unit,Entire home/apt,4,2 baths,2.0,2,2,"[""Washer"", ""Outdoor dining area"", ""Smoke alarm"", ""Dedicated workspace"", ""Carbon monoxide alarm"", ""Wifi"", ""Kitchen"", ""Paid parking on premises"", ""TV""]",9,108.0,3,365,1,21,23,80,0,0,0,23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0.0,0
98,"Primrose Hill Studio, 2 mins to Chalk Farm Tube",2477811,2012-05-27,"May 27, 2012",4856,within a few hours,1.0,0.56,0,1,"['email', 'phone', 'work_email']",3,1,1,Camden,51.543711,-0.1560525,Entire condo,Entire home/apt,2,1 bath,1.0,1,1,"[""Cooking basics"", ""Wine glasses"", ""Housekeeping available from 10:00\u202fAM to 4:00\u202fPM - available at extra cost"", ""Iron"", ""Smoke alarm"", ""Fire extinguisher"", ""Courtyard view"", ""Dishes and silverware"", ""Shower gel"", ""Conditioner"", ""Central heating"", ""Body soap"", ""Dining table"", ""Drying rack for clothing"", ""Free washer \u2013 In unit"", ""Laundromat nearby"", ""Books and reading material"", ""Freezer"", ""Private entrance"", ""Paid street parking off premises"", ""Hangers"", ""Hot water"", ""Cleaning products"", ""Hair dryer"", ""Clothing storage: wardrobe"", ""Essentials"", ""Wifi"", ""Extra pillows and blankets"", ""Kitchen"", ""Trash compactor"", ""Long term stays allowed"", ""Hot water kettle"", ""Bidet"", ""Oven"", ""Toaster"", ""Bathtub"", ""Bosh induction stove"", ""Baking sheet"", ""Shampoo"", ""Bed linens"", ""Samsung refrigerator""]",41,109.0,7,360,4,20,50,51,2,2,2,51,28,3052.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1,1,0,0,2.0,1
99,Standard Double Room Near Cine Lumiere LON,446820235,2022-02-25,"February 25, 2022",1295,within an hour,1.0,0.44,0,6311,"['email', 'phone']",2,1,1,Kensington and Chelsea,51.49363,-0.17882,Entire rental unit,Entire home/apt,2,1 bath,1.0,1,1,"[""Wine glasses"", ""Air conditioning"", ""Iron"", ""Smoke alarm"", ""Fire extinguisher"", ""First aid kit"", ""Shower gel"", ""TV with standard cable"", ""Carbon monoxide alarm"", ""Safe"", ""Body soap"", ""Cleaning available during stay"", ""Baby safety gates"", ""Luggage dropoff allowed"", ""Clothing storage"", ""Private entrance"", ""Hangers"", ""Room-darkening shades"", ""Hot water"", ""Cleaning products"", ""Hair dryer"", ""Elevator"", ""Essentials"", ""Wifi"", ""Trash compactor"", ""Babysitter recommendations"", ""Bidet"", ""Self check-in"", ""Pack \u2019n play/Travel crib"", ""Ethernet connection"", ""Bathtub"", ""Heating"", ""Building staff"", ""Sound system"", ""Shampoo"", ""Bed linens"", ""Long term stays allowed""]",37,311.0,1,365,29,59,89,364,0,0,0,201,0,0.0,4.68,4.77,4.77,4.87,4.77,4.93,4.68,0,495,495,0,0,1.23,1
100,Double Room Near Allya beauty limited LON,446820235,2022-02-25,"February 25, 2022",1295,within an hour,1.0,0.44,0,6311,"['email', 'phone']",2,1,1,Kensington and Chelsea,51.4943,-0.1781,Entire rental unit,Entire home/apt,2,1 bath,1.0,1,1,"[""Wine glasses"", ""Air conditioning"", ""Iron"", ""Smoke alarm"", ""Fire extinguisher"", ""First aid kit"", ""Shower gel"", ""TV with standard cable"", ""Carbon monoxide alarm"", ""Coffee maker"", ""Safe"", ""Coffee"", ""Body soap"", ""Cleaning available during stay"", ""Baby safety gates"", ""Luggage dropoff allowed"", ""Clothing storage"", ""Private entrance"", ""Hangers"", ""Room-darkening shades"", ""Hot water"", ""Cleaning products"", ""Hair dryer"", ""Elevator"", ""Essentials"", ""Wifi"", ""Trash compactor"", ""Babysitter recommendations"", ""Bidet"", ""Self check-in"", ""Pack \u2019n play/Travel crib"", ""Ethernet connection"", ""Heating"", ""Building staff"", ""Sound system"", ""Shampoo"", ""Bed linens"", ""Long term stays allowed""]",38,278.0,1,365,29,59,89,364,0,0,0,201,0,0.0,4.88,4.86,4.84,4.94,4.96,4.92,4.8,0,495,495,0,0,0.34,1
101,Cozy Double Room Near School of Communication LON,446820235,2022-02-25,"February 25, 2022",1295,within an hour,1.0,0.44,0,6311,"['email', 'phone']",2,1,1,Kensington and Chelsea,51.50098,-0.18024,Entire rental unit,Entire home/apt,2,1 bath,1.0,1,1,"[""Wine glasses"", ""Air conditioning"", ""Iron"", ""Smoke alarm"", ""Fire extinguisher"", ""First aid kit"", ""Shower gel"", ""TV with standard cable"", ""Carbon monoxide alarm"", ""Mini fridge"", ""Coffee maker"", ""Safe"", ""Coffee"", ""Body soap"", ""Cleaning available during stay"", ""Baby safety gates"", ""Luggage dropoff allowed"", ""Clothing storage"", ""Private entrance"", ""Hangers"", ""Room-darkening shades"", ""Hot water"", ""Cleaning products"", ""Pets allowed"", ""Hair dryer"", ""Elevator"", ""Essentials"", ""Wifi"", ""Trash compactor"", ""Babysitter recommendations"", ""Bidet"", ""Self check-in"", ""Pack \u2019n play/Travel crib"", ""Ethernet connection"", ""Heating"", ""Building staff"", ""Sound system"", ""Shampoo"", ""Paid parking off premises"", ""Bed linens"", ""Long term stays allowed"", ""Paid parking on premises""]",42,313.0,1,365,29,59,89,364,0,0,0,202,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,495,495,0,0,0.0,0
102,"Luxe Portobello Home | A/C, Parking, Flex Check-in",684416803,2025-03-15,"March 15, 2025",181,within an hour,1.0,0.98,0,1,"['email', 'phone']",2,1,1,Kensington and Chelsea,51.524358,-0.211001337,Entire home,Entire home/apt,6,1 bath,1.0,3,5,"[""Wine glasses"", ""Smoke alarm"", ""Fire extinguisher"", ""Stove"", ""Coffee maker"", ""Refrigerator"", ""Conditioner"", ""Luggage dropoff allowed"", ""Drying rack for clothing"", ""Children\u2019s dinnerware"", ""Private entrance"", ""Hangers"", ""Pets allowed"", ""Shared gym nearby"", ""Blender"", ""Baby bath - available upon request"", ""Babysitter recommendations"", ""Hot water kettle"", ""Pack \u2019n play/Travel crib - available upon request"", ""Private patio or balcony"", ""Children\u2019s books and toys for ages 0-2 years old, 2-5 years old, 5-10 years old, and 10+ years old"", ""Cooking basics"", ""Washer"", ""Host greets you"", ""Shower gel"", ""TV"", ""Dining table"", ""Baby safety gates"", ""Books and reading material"", ""Clothing storage"", ""Paid street parking off premises"", ""Room-darkening shades"", ""Hair dryer"", ""Breakfast"", ""Park view"", ""Dishwasher"", ""Wifi"", ""Outdoor dining area"", ""Oven"", ""Baking sheet"", ""Pocket wifi"", ""Private BBQ grill: charcoal, wood-burning"", ""Iron"", ""EV charger - level 1"", ""First aid kit"", ""Carbon monoxide alarm"", ""Body soap"", ""Dedicated workspace"", ""Laundromat nearby"", ""Exterior security cameras on property"", ""Shared backyard \u2013 Fully fenced"", ""Hot water"", ""River view"", ""Essentials"", ""Canal view"", ""Housekeeping available 2 days a week - available at extra cost"", ""Rice maker"", ""Outdoor furniture"", ""Toaster"", ""High chair"", ""Heating"", ""Board games"", ""Bed linens"", ""Long term stays allowed"", ""Portable fans"", ""Paid valet parking on premises"", ""Courtyard view"", ""Dishes and silverware"", ""Coffee"", ""Freezer"", ""Sun loungers"", ""Crib"", ""Barbecue utensils"", ""Cleaning products"", ""Bikes"", ""Elevator"", ""Extra pillows and blankets"", ""Kitchen"", ""Outdoor playground"", ""Free dryer \u2013 In unit"", ""Bathtub"", ""Ethernet connection"", ""Shampoo"", ""Microwave"", ""Portable air conditioning"", ""Free parking on premises""]",90,288.0,3,365,4,13,35,141,14,14,3,139,129,37152.0,5.0,4.93,4.93,5.0,4.93,4.93,4.93,1,1,1,0,0,5.45,1
103,Spacious light En-suite Double Room - Balham,44815963,2015-09-22,"September 22, 2015",3643,within a day,0.8,0.0,0,2,"['email', 'phone']",2,1,1,Wandsworth,51.44271,-0.14487,Private room in rental unit,Private room,2,1 private bath,1.0,1,1,"[""Lock on bedroom door"", ""Washer"", ""Smoke alarm"", ""Fire extinguisher"", ""First aid kit"", ""Carbon monoxide alarm"", ""Wifi"", ""Kitchen"", ""TV""]",9,45.0,7,45,2,24,54,54,0,0,0,54,0,0.0,4.46,4.69,4.77,4.62,4.85,4.62,4.23,0,1,0,1,0,0.08,1
104,Prime Central London Private Studio Apartment,682491846,2025-03-05,"March 05, 2025",191,within an hour,0.83,1.0,0,616,"['email', 'phone']",2,1,0,Westminster,51.51869936,-0.16244065,Entire rental unit,Entire home/apt,2,1 bath,1.0,0,1,"[""Washer"", ""Pets allowed"", ""Oven"", ""Smoke alarm"", ""Stove"", ""Toaster"", ""Heating"", ""Freezer"", ""Essentials"", ""Carbon monoxide alarm"", ""Kitchen"", ""Shampoo"", ""Wifi"", ""City skyline view"", ""Bed linens"", ""Refrigerator"", ""Microwave"", ""Hot water kettle""]",18,257.0,1,1125,19,49,79,354,0,0,0,191,0,0.0,4.82,4.88,4.83,4.96,4.92,4.69,4.75,1,71,71,0,0,0.91,1
105,London Luxury Apartment - Finchley Road Retreat,682491846,2025-03-05,"March 05, 2025",191,within an hour,0.83,1.0,0,616,"['email', 'phone']",2,1,0,Camden,51.55679085,-0.197353041,Entire rental unit,Entire home/apt,6,1 bath,1.0,2,3,"[""Washer"", ""Iron"", ""Smoke alarm"", ""Stove"", ""Carbon monoxide alarm"", ""Coffee maker"", ""Refrigerator"", ""TV"", ""Freezer"", ""Dryer"", ""Essentials"", ""Wifi"", ""Kitchen"", ""Hot water kettle"", ""Oven"", ""Toaster"", ""Heating"", ""Microwave"", ""Bed linens"", ""Paid parking on premises""]",20,344.0,1,1125,29,59,89,364,0,0,0,202,0,0.0,4.95,4.94,4.94,4.94,4.98,4.82,4.94,1,71,71,0,0,0.38,1
